"REF_CRACKED_EFFECTIVE_ID","CODE","DESCRIPTION","PARTY_RESPONSIBLE","OBS_IND","LAST_UPDATE_DATE","CREATION_DATE","LAST_UPDATED_BY","CREATED_BY","VERSION","TRIAL_CODE_TYPE"
1,"A","Acceptable guilty plea(s) entered late to some or all charge / counts on the charge sheet, offered for first time by the defence","D","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
2,"B","Acceptable guilty plea(s) entered late to some or all charge / counts on the charge sheet, previously rejected by the prosecution","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
3,"C","Acceptable guilty plea(s) to alternative new charge (not previously on the charge sheet), first time offered by defence","D","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
4,"D","Acceptable guilty plea(s) to alternative new charge (not previously on the charge sheet), previously rejected by the prosecution","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
5,"E","Defendant bound over, acceptable to prosecution, offered for the first time by the defence","D","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
6,"E1","Effective trial","","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"E"
7,"F","Defendant bound over, now acceptable to prosecution – previously rejected by prosecution","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
8,"G","Unable to proceed with trial because defendant incapable through alcohol / drugs","","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
9,"H","Defendant deceased","D","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
10,"I","Prosecution end case: insufficient evidence","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
11,"J","Prosecution end case: witness absent / withdrawn","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
12,"K","Prosecution end case: public interest grounds","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
13,"L","Prosecution end case: adjournment refused","P","",16-JUL-18 15:40:04,17-MAY-18 23:03:50,"XHIBIT","XHIBIT",2,"C"
