"REF_HEARING_TYPE_ID","HEARING_TYPE_CODE","HEARING_TYPE_DESC","CATEGORY","SEQ_NO","LIST_SEQUENCE","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","COURT_ID","OBS_IND"
18324,"BRP","Breach of Requirements of Probation Order","S",70,1680,10-DEC-15 12:04:30,12-MAY-09 15:13:44,"XHIBIT","XHIBIT",117,81,"N"
18406,"SAC","For Sentence (at another Court)","S",650,945,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18407,"SAC","For Sentence (at another Court)","T",950,945,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18408,"SAC","For Sentence (at another Court)","U",750,945,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18409,"LAA","For Application to Add to List","S",250,1350,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18410,"RLA","For Application to Remove from List","S",260,1330,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18411,"RDA","For Application to Remove Driving Disqualification","S",270,1360,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18412,"RCA","For Application to Revoke Community Service Order","S",290,1420,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18413,"DSE","For Deferred Sentence","S",400,950,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18414,"BCS","Breach of Requirements of Community Service Order","S",30,1630,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18415,"JGT","For Judgment","S",500,1000,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18416,"FHA","For Application to Fix Hearing Date","A",250,1340,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18417,"LAA","For Application to Add to List","A",260,1350,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18418,"RLA","For Application to Remove from List","A",270,1330,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18419,"ALA","For Appeal under the Lotteries and Amusements Act 1976","A",150,590,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18420,"DSE","For Deferred Sentence","A",400,950,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18421,"DRR","For Deferred Sentence (Respondent Released)","A",410,970,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18422,"JGT","For Judgment","A",500,1000,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18423,"MEN","For Mention","A",550,1030,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18424,"MAA","For Mention (Appellant to Attend)","A",570,1090,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18425,"REV","For Review","A",600,1020,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18426,"SUB","For Surrender to Bail","A",650,1200,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18427,"AHA","For Appeal under the Housing Act 1957","A",120,560,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18428,"ALD","For Appeal under the Land Drainage Act 1976","A",130,570,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18429,"ALJ","For Appeal against Licensing Justices Decision","A",140,580,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18430,"BVA","For Application to Vary Bail Conditions","A",230,1230,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18431,"PHD","Part Heard","C",600,750,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18432,"PLY","For Preliminary Hearing","C",650,800,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18433,"PTR","For Pre-Trial Review","C",660,300,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18434,"RJT","For Reserved Judgment","C",700,1010,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18435,"RIN","For Return Injunction","U",630,1550,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18436,"BFA","For Application to Break Fixture","T",350,1320,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18437,"MEN","For Mention","S",510,1030,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18438,"MDA","For Mention (Defendant to Attend)","S",520,1060,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18439,"MOA","For Mention (Officer to Attend)","S",530,1080,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18440,"REV","For Review","S",550,1020,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18441,"PRA","For Application under the Proceeds of Crime Act 2002","S",330,1490,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18442,"PRA","For Application under the Proceeds of Crime Act 2002","U",105,1490,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18443,"SOA","For Sentence (Officer to Attend)","T",920,920,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18444,"SOA","For Sentence (Officer to Attend)","S",620,920,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18445,"SPO","For Sentence (Prosecution and Officer to Attend)","U",730,930,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18446,"SPO","For Sentence (Prosecution and Officer to Attend)","T",930,930,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18447,"SPO","For Sentence (Prosecution and Officer to Attend)","S",630,930,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18448,"DCA","For Application for Dismissal of Charges","T",860,320,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18449,"MBO","For Motion By Order","C",550,650,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18450,"PAD","For Plea and Directions","U",560,220,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18451,"CCT","Contempt of Court Proceedings","U",200,1800,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18452,"CPT","For Contempt","U",210,1810,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18453,"DSE","For Deferred Sentence","U",250,950,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18454,"DPR","For Deferred Sentence (Prosecution Released)","U",260,960,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18455,"PLE","For Plea","U",550,200,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18456,"BVA","For Application to Vary Bail Conditions","U",50,1230,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18457,"PTR","For Pre-Trial Review","U",610,300,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18458,"PLY","For Preliminary Hearing","U",600,800,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18459,"SEN","For Sentence","U",700,900,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18460,"SPR","For Sentence (Prosecution Released)","U",740,940,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18461,"SCE","To Show Cause","U",800,1900,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
18462,"SCJ","For Juror to Show Cause","U",810,1910,14-JUN-11 13:45:48,20-MAY-11 15:20:55,"XHIBIT","XHIBIT",19,80,"N"
