"REF_JUDGE_ID","JUDGE_TYPE","CREST_JUDGE_ID","TITLE","FIRST_NAME","MIDDLE_NAME","SURNAME","FULL_LIST_TITLE1","FULL_LIST_TITLE2","FULL_LIST_TITLE3","STATS_CODE","INITIALS","HONOURS","JUD_VERS","OBS_IND","SOURCE_TABLE","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","COURT_ID"
34980,"HJ",816,"THIS-IS-LONG-JUDGE-PREFIX","THIS-IS-VERY-LONG-JUDGE-FIRST-NAME-","THIS-IS-VERY-LONG-OTHER-JUDGE-NAME-","THIS-IS-A-VERY-LONG-JUDGE-SURNAME--","","","","","","THIS-IS-A-VERY-LONG-JUDGE-SUFFIX---","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34981,"HJ",817,"THE DOWNRIGHT DIS-HON","D'ARCY","FORTESCUE","BRIBE-EASY20081029","The Downright Dishonorable D-Arcy Fortescue Birbe-Easy QC","","","","DF","QC","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34993,"AR",819,"YOU SCRATCH","MY BACK","AND I'LL","SCRATCH-YOURS20081029","What goes on this courtroom in no way reflects the realities of the world","","","","MA","MATEY","","Y","",27-MAR-15 10:28:08,24-MAY-10 15:21:55,"Mercator","Mercator",52,81
35056,"CJ",15,"MR","NORMAN","GREGORY","MEYER","Before Judge : MEYER","","","30062","","QC","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35057,"CJ",353,"MR","DARREN","RICKY","ROSS","Before Judge : ROSS","","","","","Q.C.","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35058,"CJ",356,"MS","LUCILLE","RUTH","BARNES","Before Judge : BARNES","","","34840","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35059,"AR",357,"MS","ELEANOR","DORIS","JORDAN","Before Judge : JORDAN","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35060,"AR",359,"MISS","SANDRA","SARA","CARPENTER","Before Judge : CARPENTER","","","","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35061,"R",20,"MS","DANA","SANDRA","WEBB","Before Judge : WEBB","","","45240","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35062,"AR",360,"MRS","LOUISE","GAIL","MORGAN","Before Judge : MORGAN","","","","","Q.C.","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
