"REF_SOLICITOR_FIRM_ID","SOLICITOR_FIRM_NAME","CREST_SOF_ID","COURT_ID","OBS_IND","SHORT_NAME","DX_REF","VAT_NO","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","ADDRESS_ID","LA_CODE"
91513,"TUCKER SOLICITORS",12084,81,"N","TUCKER","DX 5866 ARUNDEL","666444999",27-MAR-15 10:28:41,12-MAY-09 15:30:43,"Mercator","Mercator",291,529131,""
91514,"MIGUEL LLP",11720,81,"N","VASQUEZ","DX 228147 ASHBOURNE","888444888",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529132,""
91515,"DAVIS SOLICITORS",11986,81,"N","DAVIS","DX 108215 ALNWICK","111333333",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529133,""
91516,"HUNTER SOLICITORS",11868,81,"N","HUNTER","DX 10453 ASCOT","777666999",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529134,""
91517,"MELANIE and CO",12173,81,"N","FULLER","DX 48169 AMESBURY","444333222",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529135,""
91518,"DAN and CO",11372,81,"N","WHITE","DX 10180 ALTON","111666333",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529136,""
91519,"CARPENTER SOLICITORS",12220,81,"N","CARPENTER","DX 3581 AMPTHILL","111111222",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529137,""
91520,"WILLIAMSON SOLICITORS",11473,81,"N","WILLIAMSON","DX 5958 ATHERSTONE","777444222",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529138,""
91521,"PHILLIP and CO",12235,81,"N","BLACK","DX 2248 ACLE","666222666",27-MAR-15 10:28:42,12-MAY-09 15:30:43,"Mercator","Mercator",291,529139,""
91522,"RONNIE and CO",12158,81,"N","FERNANDEZ","DX 210238 APPLEBY-IN-WESTMORLAND","555444888",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529140,""
91523,"MENDOZA SOLICITORS",12366,81,"N","MENDOZA","DX 136226 ATHERSTONE","777222444",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529141,""
91524,"HOLLY and CO",11836,81,"N","DEAN","DX 168144 AXMINSTER","999333222",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529142,""
